question,option1,option2,answer,prompt,id,prompt_response
"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",Emily,Maria,2,"Question: - In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.
Options: - ['Emily', 'Maria']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",1dm7Yn5c5k," ""concepts"": [
  {
    ""name"": ""Emily"",
    ""description"": ""A person who sent Maria to get the medication for controlling kennel cough""
  },
  {
    ""name"": ""Maria"",
    ""description"": ""A person who was asked by Emily to get the medication""
  },
  {
    ""name"": ""Medication"",
    ""description"": ""The substance that is used to control kennel cough""
  },
  {
    ""name"": ""Kennel Cough"",
    ""description"": ""A contagious respiratory infection that affects dogs""
  }
],

""relationships"": [
  {
    ""concept"": ""Emily"",
    ""relationship"": ""asked"",
    ""related_concept"": ""Maria"",
    ""description"": ""Emily asked Maria to get the medication""
  },
  {
    ""concept"": ""Maria"",
    ""relationship"": ""was_sent_to_get"",
    ""related_concept"": ""Medication"",
    ""description"": ""Maria was sent to get the medication""
  },
  {
    ""concept"": ""Medication"",
    ""relationship"": ""is_used_for"",
    ""related_concept"": ""Kennel Cough"",
    ""description"": ""The medication is used to control kennel cough""
  }
],

""answer"": ""- Emily"",
""reasoning"": ""Emily asked Maria to get the medication, so she was the one who initiated the action to obtain the medication for controlling kennel cough."""
James could not hear the sound of his television in his neighborhood because the _ is too quite.,neighborhood,television,2,"Question: - James could not hear the sound of his television in his neighborhood because the _ is too quite.
Options: - ['neighborhood', 'television']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",CpRctRH51s," ""concepts"": [
  {
    ""name"": ""James"",
    ""description"": ""A person named James""
  },
  {
    ""name"": ""Neighborhood"",
    ""description"": ""The area or community where James lives""
  },
  {
    ""name"": ""Television"",
    ""description"": ""An electronic device used for broadcasting and receiving programs""
  }
],

""relationships"": [
  {
    ""concept"": ""James"",
    ""relationship"": ""cannot hear due to"",
    ""related_concept"": ""Noise level of Neighborhood"",
    ""description"": ""James cannot hear the sound of his television because the noise level of the neighborhood is too quiet for him to distinguish the television's sound.""
  },
  {
    ""concept"": ""Neighborhood"",
    ""relationship"": ""has"",
    ""related_concept"": ""Low noise level"",
    ""description"": ""The neighborhood has a low noise level.""
  },
  {
    ""concept"": ""Television"",
    ""relationship"": ""produces"",
    ""related_concept"": ""Sound"",
    ""description"": ""The television produces sound.""
  },
  {
    ""concept"": ""James"",
    ""relationship"": ""lives in"",
    ""related_concept"": ""Neighborhood"",
    ""description"": ""James lives in the neighborhood.""
  }
],

{
  ""answer"": ""- The neighborhood"",
  ""reasoning"": ""Since James couldn't hear the sound of his television, it can be inferred that the cause of his inability to hear the television was an external factor. The options provided do not mention anything about James's hearing ability or the television being faulty. Therefore, the only external factor mentioned in the sentence is the neighborhood. Thus, the answer is 'the neighborhood'.""
}"
Benjamin has whiter teeth than Jason because _ does not use a toothpaste with baking soda in it.,Benjamin,Jason,2,"Question: - Benjamin has whiter teeth than Jason because _ does not use a toothpaste with baking soda in it.
Options: - ['Benjamin', 'Jason']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",AoFk58czn6," ""concepts"": [
  {
    ""name"": ""Benjamin"",
    ""description"": ""A person named Benjamin""
  },
  {
    ""name"": ""Jason"",
    ""description"": ""A person named Jason""
  },
  {
    ""name"": ""Teeth"",
    ""description"": ""Anatomical structures located in the mouth used for biting and chewing food""
  },
  {
    ""name"": ""Whiteness"",
    ""description"": ""A quality of being free from stain or blemish""
  },
  {
    ""name"": ""Toothpaste"",
    ""description"": ""A paste used for oral hygiene""
  },
  {
    ""name"": ""Baking Soda"",
    ""description"": ""A chemical compound used as an abrasive and a base""
  }
],

""relationships"": [
  {
    ""concept"": ""Benjamin"",
    ""relationship"": ""has"",
    ""related_concept"": ""Teeth"",
    ""description"": ""Benjamin has teeth""
  },
  {
    ""concept"": ""Jason"",
    ""relationship"": ""has"",
    ""related_concept"": ""Teeth"",
    ""description"": ""Jason has teeth""
  },
  {
    ""concept"": ""Benjamin"",
    ""relationship"": ""does not use"",
    ""related_concept"": ""Toothpaste with Baking Soda"",
    ""description"": ""Benjamin does not use toothpaste with baking soda""
  },
  {
    ""concept"": ""Jason"",
    ""relationship"": ""uses"",
    ""related_concept"": ""Toothpaste with Baking Soda"",
    ""description"": ""Jason uses toothpaste with baking soda""
  },
  {
    ""concept"": ""Teeth"",
    ""relationship"": ""have property"",
    ""related_concept"": ""Whiteness"",
    ""description"": ""Teeth have the property of being white""
  },
  {
    ""concept"": ""Benjamin's Teeth"",
    ""relationship"
The car gripped the asphalt better than the truck although the _ had poor traction.,car,truck,1,"Question: - The car gripped the asphalt better than the truck although the _ had poor traction.
Options: - ['car', 'truck']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",izwDHxVoBh," ""concepts"": [
  {
    ""name"": ""car"",
    ""description"": ""A motor vehicle designed for transporting people or goods.""
  },
  {
    ""name"": ""truck"",
    ""description"": ""A large motor vehicle designed to transport heavy loads.""
  },
  {
    ""name"": ""grip"",
    ""description"": ""The ability of a vehicle's tires to maintain contact and adhere to the surface they are driving on.""
  },
  {
    ""name"": ""traction"",
    ""description"": ""The force by which a vehicle or tire is held to a roadway.""
  }
],

""relationships"": [
  {
    ""concept"": ""car"",
    ""relationship"": ""has_better"",
    ""related_concept"": ""car"",
    ""description"": ""Refers to the first car in the comparison having a better quality of something than the second car.""
  },
  {
    ""concept"": ""car"",
    ""relationship"": ""exerts_force_on"",
    ""related_concept"": ""asphalt"",
    ""description"": ""The car presses down on the asphalt through its tires.""
  },
  {
    ""concept"": ""car"",
    ""relationship"": ""has_poorly"",
    ""related_concept"": ""traction"",
    ""description"": ""Indicates that the car has poor traction, but this does not affect its ability to grip the asphalt better than the truck.""
  },
  {
    ""concept"": ""truck"",
    ""relationship"": ""exerts_force_on"",
    ""related_concept"": ""asphalt"",
    ""description"": ""The truck also presses down on the asphalt through its tires.""
  },
  {
    ""concept"": ""truck"",
    ""relationship"": ""has_worse"",
    ""related_concept"": ""grip"",
    ""description"": ""Refers to the truck having a worse ability to grip the asphalt compared to the car.""
  },
  {
    ""concept"": ""traction"",
    ""relationship"": ""affects"",
"
I threw the glass against the wall and it broke because the _ is too weak.,wall,glass,2,"Question: - I threw the glass against the wall and it broke because the _ is too weak.
Options: - ['wall', 'glass']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",HH1lYeUo3X," ""concepts"": [
  {
    ""name"": ""glass"",
    ""description"": ""A type of container made of glass material""
  },
  {
    ""name"": ""wall"",
    ""description"": ""A large, thick piece of material used to enclose or partition a space""
  }
],

""relationships"": [
  {
    ""concept"": ""glass"",
    ""relationship"": ""agent"",
    ""related_concept"": ""I"",
    ""description"": ""The glass was thrown by the person""
  },
  {
    ""concept"": ""glass"",
    ""relationship"": ""patient"",
    ""related_concept"": ""wall"",
    ""description"": ""The glass came into contact with and was broken by the wall""
  },
  {
    ""concept"": ""wall"",
    ""relationship"": ""affected_by"",
    ""related_concept"": ""glass"",
    ""description"": ""The wall was affected when the glass broke against it""
  }
],

{
  ""answer"": ""the wall"",
  ""reasoning"": ""The word '_' in the question refers to the wall, as indicated by the context that the glass was thrown against it and broke.""
}"
Kayla was much taller than Samantha so _ scored very few points while playing basketball.,Kayla,Samantha,2,"Question: - Kayla was much taller than Samantha so _ scored very few points while playing basketball.
Options: - ['Kayla', 'Samantha']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",A0xiKHwxsc," ""concepts"": [
  {
    ""name"": ""Kayla"",
    ""description"": ""A person named Kayla""
  },
  {
    ""name"": ""Samantha"",
    ""description"": ""A person named Samantha""
  },
  {
    ""name"": ""basketball"",
    ""description"": ""A team sport played with a ball""
  }
],

""relationships"": [
  {
    ""concept"": ""Kayla"",
    ""relationship"": ""is taller than"",
    ""related_concept"": ""Samantha"",
    ""description"": ""Kayla is physically larger than Samantha""
  },
  {
    ""concept"": ""Kayla"",
    ""relationship"": ""plays"",
    ""related_concept"": ""basketball"",
    ""description"": ""Kayla participates in the sport of basketball""
  },
  {
    ""concept"": ""Samantha"",
    ""relationship"": ""plays"",
    ""related_concept"": ""basketball"",
    ""description"": ""Samantha participates in the sport of basketball""
  },
  {
    ""concept"": ""height advantage"",
    ""relationship"": ""gives"",
    ""related_concept"": ""Kayla"",
    ""description"": ""Kayla's height advantage makes it difficult for opponents to score against her""
  },
  {
    ""concept"": ""height disadvantage"",
    ""relationship"": ""gives"",
    ""related_concept"": ""Samantha"",
    ""description"": ""Samantha's height disadvantage makes it harder for her to score against taller opponents""
  }
],

{
  ""answer"": ""- Samantha"",
  ""reasoning"": ""Since Kayla is much taller than Samantha, Samantha would likely score fewer points while playing basketball due to her height disadvantage.""
}"
"Jason suggests that they run quickly through the rain and pretend it's falling lava, because the _ isn't really that exciting.",rain,lava,1,"Question: - Jason suggests that they run quickly through the rain and pretend it's falling lava, because the _ isn't really that exciting.
Options: - ['rain', 'lava']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",lvXxe2H77w," ""concepts"": [
  {
    ""name"": ""rain"",
    ""description"": ""Natural water precipitation from clouds.""
  },
  {
    ""name"": ""lava"",
    ""description"": ""Hot, fluid, molten rock, ejected from a volcano or found at the earth's surface.""
  }
],

""relationships"": [
  {
    ""concept"": ""rain"",
    ""relationship"": ""contrast"",
    ""related_concept"": ""lava"",
    ""description"": ""Jason suggests running quickly through rain instead of lava due to the former being less exciting.""
  },
  {
    ""concept"": ""rain"",
    ""relationship"": ""substitution"",
    ""related_concept"": ""lava"",
    ""description"": ""Jason proposes imagining rain as falling lava for amusement, replacing the excitement of lava with rain.""
  }
],

{
  ""answer"": ""rain"",
  ""reasoning"": ""Jason suggests running through rain and pretending it's falling lava as an alternative to actual lava, implying that rain is less exciting but can still provide entertainment by using imagination."""
Erin but not Rachel was looked at funny because _ did not have a huge eyebrow piercing.,Erin,Rachel,2,"Question: - Erin but not Rachel was looked at funny because _ did not have a huge eyebrow piercing.
Options: - ['Erin', 'Rachel']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",RvCy2Idzl8," ""concepts"": [
  {
    ""name"": ""Erin"",
    ""description"": ""A person named Erin""
  },
  {
    ""name"": ""Rachel"",
    ""description"": ""A person named Rachel""
  },
  {
    ""name"": ""Funny look"",
    ""description"": ""An unusual or odd appearance that draws attention""
  },
  {
    ""name"": ""Huge eyebrow piercing"",
    ""description"": ""A large piercing through the eyebrow""
  }
],

""relationships"": [
  {
    ""concept"": ""Erin"",
    ""relationship"": ""experienced"",
    ""related_concept"": ""Funny look"",
    ""description"": ""Erin was the person who experienced being looked at funny""
  },
  {
    ""concept"": ""Rachel"",
    ""relationship"": ""shared_attribute"",
    ""related_concept"": ""Huge eyebrow piercing"",
    ""description"": ""Rachel has a huge eyebrow piercing""
  },
  {
    ""concept"": ""Erin"",
    ""relationship"": ""differed_from"",
    ""related_concept"": ""Rachel"",
    ""description"": ""Erin does not have the same attribute (huge eyebrow piercing) as Rachel""
  },
  {
    ""concept"": ""Funny look"",
    ""relationship"": ""caused_by"",
    ""related_concept"": ""Lack of huge eyebrow piercing"",
    ""description"": ""The lack of a huge eyebrow piercing caused Erin to receive a funny look""
  }
],

{
  ""answer"": ""The lack of a huge eyebrow piercing"",
  ""reasoning"": ""Based on the concepts and relationships identified, Erin received a funny look because she did not have the same attribute (huge eyebrow piercing) as Rachel""
}"
"Natalie felt most comfortable wearing a skirt, however Amy found jeans more to their liking. _ bought a cute new sundress at the mall.",Natalie,Amy,1,"Question: - Natalie felt most comfortable wearing a skirt, however Amy found jeans more to their liking. _ bought a cute new sundress at the mall.
Options: - ['Natalie', 'Amy']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",U3N9N7Cg5d," ""concepts"": [
  {
    ""name"": ""Natalie"",
    ""description"": ""One of the two individuals mentioned in the question""
  },
  {
    ""name"": ""Amy"",
    ""description"": ""The other individual mentioned in the question""
  },
  {
    ""name"": ""Skirt"",
    ""description"": ""A type of clothing worn from the waist to the ankles, covering both legs""
  },
  {
    ""name"": ""Jeans"",
    ""description"": ""A type of denim pants, often worn for casual occasions""
  },
  {
    ""name"": ""Sundress"",
    ""description"": ""A women's dress, typically sleeveless and lightweight, designed for warm weather""
  }
],

""relationships"": [
  {
    ""concept"": ""Natalie"",
    ""relationship"": ""preferred to wear"",
    ""related_concept"": ""Skirt"",
    ""description"": ""Natalie feels most comfortable wearing a skirt""
  },
  {
    ""concept"": ""Amy"",
    ""relationship"": ""preferred to wear"",
    ""related_concept"": ""Jeans"",
    ""description"": ""Amy finds jeans more to her liking""
  },
  {
    ""concept"": ""Natalie"",
    ""relationship"": ""bought"",
    ""related_concept"": ""Sundress"",
    ""description"": ""Natalie purchased a new sundress""
  }
],

""answer"": ""-,
""reasoning"": ""The question does not provide enough information to determine which of the options is correct or incorrect for either Natalie or Amy."""
Jessica asked Erin many questions about activites in Washington because _ used to live there.,Jessica,Erin,2,"Question: - Jessica asked Erin many questions about activites in Washington because _ used to live there.
Options: - ['Jessica', 'Erin']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",R8uHvCd2Dy," ""concepts"": [
  {
    ""name"": ""Jessica"",
    ""description"": ""A person asking questions""
  },
  {
    ""name"": ""Erin"",
    ""description"": ""A person with past experience in Washington""
  },
  {
    ""name"": ""Washington"",
    ""description"": ""A location where Erin used to live""
  }
],

""relationships"": [
  {
    ""concept"": ""Jessica"",
    ""relationship"": ""asked_many_questions"",
    ""related_concept"": ""Erin"",
    ""description"": ""Jessica asked Erin many questions""
  },
  {
    ""concept"": ""Erin"",
    ""relationship"": ""lived_in"",
    ""related_concept"": ""Washington"",
    ""description"": ""Erin lived in Washington""
  }
],

{
  ""answer"": ""- Erin"",
  ""reasoning"": ""Erin is the person who has past experience in Washington, making her the most relevant source of information for Jessica's questions.""
}"
"Adam got bitten by a dog, Jason laughed at him. Their father yelled at _ .",Adam,Jason,2,"Question: - Adam got bitten by a dog, Jason laughed at him. Their father yelled at _ .
Options: - ['Adam', 'Jason']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",t5AVbDGEQI," ""concepts"": [
  {
    ""name"": ""Adam"",
    ""description"": ""A person named Adam""
  },
  {
    ""name"": ""Jason"",
    ""description"": ""A person named Jason""
  },
  {
    ""name"": ""Father"",
    ""description"": ""The father of Adam and Jason""
  },
  {
    ""name"": ""Dog"",
    ""description"": ""A dog that bit Adam""
  }
],

""relationships"": [
  {
    ""concept"": ""Adam"",
    ""relationship"": ""affected"",
    ""related_concept"": ""Dog"",
    ""description"": ""Adam was bitten by the dog""
  },
  {
    ""concept"": ""Jason"",
    ""relationship"": ""reacted"",
    ""related_concept"": ""Adam"",
    ""description"": ""Jason laughed at Adam after he was bitten by the dog""
  },
  {
    ""concept"": ""Father"",
    ""relationship"": ""reacted"",
    ""related_concept"": ""Jason"",
    ""description"": ""The father reacted by yelling at Jason for laughing at Adam""
  }
],

{
  ""answer"": ""Father"",
  ""reasoning"": ""Based on the given information, the father is the one who yelled.""
}"
Jason washed their hands with soap but not Donald because _ was unafraid of bacteria.,Jason,Donald,2,"Question: - Jason washed their hands with soap but not Donald because _ was unafraid of bacteria.
Options: - ['Jason', 'Donald']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",jasGkWdGGH," ""concepts"": [
  {
    ""name"": ""Jason"",
    ""description"": ""A person named Jason""
  },
  {
    ""name"": ""Donald"",
    ""description"": ""A person named Donald""
  },
  {
    ""name"": ""washed_hands"",
    ""description"": ""The act of cleaning one's hands""
  },
  {
    ""name"": ""soap"",
    ""description"": ""A cleansing agent used for washing""
  },
  {
    ""name"": ""bacteria"",
    ""description"": ""Microorganisms that can cause disease""
  }
],

""relationships"": [
  {
    ""concept"": ""Jason"",
    ""relationship"": ""performed_action"",
    ""related_concept"": ""washed_hands"",
    ""description"": ""Jason performed the action of washing his hands""
  },
  {
    ""concept"": ""Jason"",
    ""relationship"": ""used"",
    ""related_concept"": ""soap"",
    ""description"": ""Jason used soap while washing his hands""
  },
  {
    ""concept"": ""Donald"",
    ""relationship"": ""did_not_perform_action"",
    ""related_concept"": ""washed_hands"",
    ""description"": ""Donald did not perform the action of washing his hands""
  },
  {
    ""concept"": ""Jason"",
    ""relationship"": ""is_afraid_of"",
    ""related_concept"": ""bacteria"",
    ""description"": ""Jason is afraid of bacteria (implication)""
  },
  {
    ""concept"": ""Donald"",
    ""relationship"": ""is_unafraid_of"",
    ""related_concept"": ""bacteria"",
    ""description"": ""Donald is unafraid of bacteria (implication)""
  }
],

""answer"": ""Donald"",
""reasoning"": ""According to the given options, Jason washed his hands with soap, implying that he might be afraid of bacteria. However, the option states that Donald was unafraid of bacteria, which means he did not wash his"
